ref,dis,mos
3.png,3_len5_len2_gb_2.png,2.5
46.png,46_len2_gn_2.png,3.2
182.png,182_len1_st_3.png,2.375
223.png,223_len3_len6_gn_1.png,3.857142857
352.png,352_len4_len1_st_2.png,1.875
24.png,24_len2_len6_gb_2.png,2.2
20.png,20_len3_st_2.png,3.375
418.png,418_len5_bd_3.png,3.0
232.png,232_len2_gb_3.png,2.428571429
351.png,351_len2_len6_st_2.png,2.1
63.png,63_len3_gn_1.png,3.444444444
391.png,391_len4_len1_gb_3.png,2.4
166.png,166_len4_len1_bd_3.png,1.777777778
217.png,217_len2_gb_3.png,2.8
382.png,382_len4_len1_st_2.png,2.0
235.png,235_len6_len4_st_2.png,2.625
330.png,330_len3_gb_3.png,3.2
96.png,96_len2_st_3.png,2.0
40.png,40_len6_gb_1.png,3.0
213.png,213_len4_len1_bd_3.png,2.0
15.png,15_len2_gb_1.png,2.8
39.png,39_len3_st_2.png,2.9
399.png,399_len2_bd_1.png,3.3
6.png,6_len4_gb_3.png,2.4
5.png,5_len5_len3_gb_2.png,2.8
277.png,277_len4_st_2.png,3.3
408.png,408_len5_len2_gn_1.png,3.333333333
59.png,59_len1_len5_gn_3.png,2.777777778
71.png,71_len4_len1_gn_2.png,3.0
233.png,233_len4_len1_gb_1.png,3.0
213.png,213_len4_len1_gb_1.png,3.375
385.png,385_len5_st_2.png,2.5
359.png,359_len4_len1_bd_3.png,1.333333333
415.png,415_len3_len5_st_1.png,3.2
49.png,49_len5_gb_2.png,2.8
225.png,225_len3_bd_1.png,2.888888889
6.png,6_len4_gb_2.png,2.9
131.png,131_len6_len3_gn_3.png,2.2
362.png,362_len2_gb_3.png,2.666666667
410.png,410_len1_bd_1.png,3.2
367.png,367_len2_len5_gb_1.png,3.0
97.png,97_len4_bd_1.png,3.444444444
303.png,303_len5_bd_3.png,2.6
235.png,235_len6_gn_1.png,3.777777778
33.png,33_len3_len6_gb_2.png,2.6
314.png,314_len5_len2_gn_1.png,3.2
275.png,275_len3_len6_gn_3.png,2.25
206.png,206_len2_gn_2.png,2.666666667
82.png,82_len1_bd_2.png,3.3
62.png,62_len5_len2_st_3.png,2.1
224.png,224_len3_bd_3.png,2.8
393.png,393_len3_len6_bd_1.png,3.0
296.png,296_len6_gn_1.png,3.8
145.png,145_len6_st_1.png,2.444444444
304.png,304_len3_len6_gb_3.png,2.2
342.png,342_len3_gn_3.png,3.0
356.png,356_len6_gb_1.png,3.333333333
154.png,154_len3_len6_gb_2.png,2.8
93.png,93_len4_bd_3.png,2.5
358.png,358_len6_len3_bd_1.png,3.0
144.png,144_len2_bd_2.png,3.2
218.png,218_len5_gb_3.png,3.444444444
270.png,270_len1_gn_1.png,3.2
89.png,89_len2_len5_gn_2.png,3.4
216.png,216_len2_gn_3.png,3.0
416.png,416_len3_len6_gb_3.png,1.8
137.png,137_len4_gb_2.png,3.2
288.png,288_len4_len1_gb_2.png,2.8
74.png,74_len6_len2_gn_1.png,2.5
341.png,341_len2_st_3.png,3.333333333
187.png,187_len5_st_1.png,3.4
156.png,156_len1_len4_st_2.png,2.3
259.png,259_len5_len2_gn_1.png,3.5
369.png,369_len1_len3_st_3.png,2.333333333
320.png,320_len3_gb_1.png,2.6
154.png,154_len3_len6_bd_2.png,2.2
245.png,245_len2_len5_st_2.png,2.0
182.png,182_len1_len4_st_1.png,2.2
326.png,326_len5_len2_gb_3.png,2.0
78.png,78_len4_len6_gn_1.png,3.888888889
140.png,140_len4_bd_2.png,2.5
86.png,86_len4_st_2.png,2.777777778
63.png,63_len3_len6_bd_1.png,2.4
411.png,411_len4_bd_3.png,2.8
40.png,40_len6_st_3.png,2.2
21.png,21_len6_bd_2.png,2.8
411.png,411_len4_len2_gb_1.png,3.2
159.png,159_len4_gn_3.png,2.0
283.png,283_len6_len4_st_2.png,1.555555556
96.png,96_len2_len6_st_3.png,1.5
50.png,50_len6_len3_gb_2.png,2.125
128.png,128_len6_gb_2.png,2.6
424.png,424_len4_len1_bd_2.png,2.2
321.png,321_len2_bd_3.png,2.6
142.png,142_len6_st_3.png,2.444444444
424.png,424_len4_gn_3.png,3.1
308.png,308_len1_len5_gb_1.png,2.8
7.png,7_len4_len1_bd_3.png,1.5
22.png,22_len1_len4_bd_1.png,2.777777778
249.png,249_len2_len5_bd_1.png,3.1
193.png,193_len4_len6_bd_2.png,2.5
45.png,45_len2_gb_3.png,2.2
15.png,15_len2_bd_2.png,1.9
231.png,231_len1_len4_gn_3.png,2.111111111
60.png,60_len1_st_1.png,3.666666667
204.png,204_len4_len1_bd_1.png,3.111111111
405.png,405_len3_st_2.png,2.4
7.png,7_len4_len1_bd_1.png,3.2
379.png,379_len5_len3_st_3.png,1.5
26.png,26_len3_st_2.png,2.6
292.png,292_len5_gn_1.png,3.2
201.png,201_len2_st_1.png,3.2
393.png,393_len3_len6_bd_3.png,2.0
333.png,333_len3_len5_st_2.png,1.8
51.png,51_len3_len1_bd_2.png,2.222222222
39.png,39_len3_bd_1.png,3.2
421.png,421_len3_gb_2.png,2.9
380.png,380_len2_bd_2.png,3.1
402.png,402_len3_len6_st_3.png,2.5
153.png,153_len1_bd_1.png,3.5
129.png,129_len2_gn_3.png,2.7
63.png,63_len3_len6_st_3.png,1.2
88.png,88_len3_len6_gn_1.png,3.375
276.png,276_len6_len3_gn_2.png,2.3
230.png,230_len3_len6_gb_3.png,2.0
100.png,100_len5_len2_gn_3.png,2.8
167.png,167_len4_len1_st_1.png,2.8
171.png,171_len3_len6_gn_2.png,2.4
162.png,162_len1_len4_bd_2.png,2.8
105.png,105_len5_len3_gb_1.png,3.2
339.png,339_len4_bd_1.png,3.333333333
8.png,8_len1_len4_bd_1.png,3.125
272.png,272_len3_len6_gb_3.png,1.8
410.png,410_len1_st_3.png,3.222222222
141.png,141_len5_len2_gn_1.png,3.6
235.png,235_len6_bd_3.png,2.8
296.png,296_len6_len2_st_1.png,2.2
11.png,11_len3_st_3.png,2.222222222
265.png,265_len4_len1_st_2.png,2.2
176.png,176_len5_len2_bd_2.png,2.777777778
290.png,290_len3_gn_1.png,3.5
107.png,107_len1_bd_1.png,3.3
60.png,60_len1_len4_gn_1.png,3.8
172.png,172_len4_st_3.png,2.111111111
127.png,127_len1_gb_3.png,2.6
361.png,361_len2_gn_1.png,3.5
46.png,46_len2_gb_3.png,2.7
47.png,47_len3_gn_1.png,3.777777778
5.png,5_len5_len3_gn_3.png,2.0
193.png,193_len4_gb_3.png,1.777777778
300.png,300_len2_st_2.png,3.4
12.png,12_len1_gb_2.png,2.5
14.png,14_len2_bd_3.png,2.5
333.png,333_len3_len5_bd_1.png,2.9
151.png,151_len3_gn_3.png,2.5
229.png,229_len1_len5_st_3.png,2.111111111
58.png,58_len2_len4_gn_3.png,2.2
149.png,149_len3_len6_gn_1.png,3.0
299.png,299_len1_len4_gn_3.png,2.333333333
357.png,357_len5_len3_gn_2.png,3.2
258.png,258_len2_len5_bd_1.png,3.2
263.png,263_len3_len6_gb_2.png,2.6
176.png,176_len5_st_1.png,3.222222222
25.png,25_len2_st_1.png,2.5
347.png,347_len3_len6_bd_1.png,3.125
293.png,293_len6_len3_bd_3.png,1.9
19.png,19_len2_len6_bd_3.png,1.9
355.png,355_len3_gn_1.png,3.875
181.png,181_len2_len5_bd_3.png,2.111111111
254.png,254_len1_st_2.png,2.2
36.png,36_len1_st_1.png,3.8
336.png,336_len4_len1_st_1.png,2.2
117.png,117_len3_len6_gn_3.png,3.0
223.png,223_len3_len6_st_1.png,4.0
303.png,303_len5_len2_gb_3.png,2.0
364.png,364_len3_gb_1.png,3.2
130.png,130_len2_len4_st_1.png,2.333333333
230.png,230_len3_len6_gb_2.png,3.0
392.png,392_len5_len2_gn_2.png,2.8
63.png,63_len3_len6_st_2.png,1.9
273.png,273_len3_len6_gb_3.png,2.0
382.png,382_len4_len1_st_3.png,2.0
339.png,339_len4_len1_st_2.png,3.2
357.png,357_len5_len3_bd_2.png,3.0
379.png,379_len5_gb_2.png,3.222222222
156.png,156_len1_len4_gb_2.png,2.625
168.png,168_len5_len2_gb_3.png,1.8
24.png,24_len2_len6_bd_3.png,1.444444444
176.png,176_len5_len2_gn_2.png,2.1
126.png,126_len1_len4_bd_2.png,2.9
429.png,429_len3_len1_st_2.png,1.8
269.png,269_len3_gb_3.png,1.7
293.png,293_len6_st_1.png,3.25
102.png,102_len2_len6_bd_1.png,2.555555556
403.png,403_len3_len6_gb_3.png,2.2
267.png,267_len2_len5_gb_1.png,3.375
365.png,365_len3_len6_st_2.png,2.2
315.png,315_len6_gn_2.png,3.2
101.png,101_len1_st_2.png,1.8
101.png,101_len1_gn_1.png,3.8
26.png,26_len3_len6_gb_3.png,2.0
366.png,366_len3_bd_3.png,2.9
156.png,156_len1_gb_2.png,3.2
163.png,163_len5_len1_st_1.png,2.2
154.png,154_len3_bd_1.png,4.0
358.png,358_len6_gn_2.png,2.9
18.png,18_len5_gn_1.png,2.8
228.png,228_len5_len2_gb_1.png,3.0
66.png,66_len4_len6_gn_3.png,2.8
391.png,391_len4_len1_st_3.png,2.3
217.png,217_len2_len5_gb_3.png,1.9
116.png,116_len6_st_1.png,3.3
311.png,311_len5_len3_bd_3.png,2.2
309.png,309_len3_bd_1.png,3.666666667
115.png,115_len6_bd_2.png,2.3
174.png,174_len6_bd_2.png,2.666666667
270.png,270_len1_bd_3.png,2.5
333.png,333_len3_len5_bd_3.png,2.2
118.png,118_len3_len6_gn_3.png,2.5
72.png,72_len6_len2_gn_1.png,3.444444444
308.png,308_len1_len5_gn_3.png,2.333333333
242.png,242_len1_len4_gn_2.png,2.875
396.png,396_len4_gb_3.png,2.7
68.png,68_len3_gn_1.png,4.0
13.png,13_len4_st_3.png,3.0
187.png,187_len5_bd_2.png,2.333333333
312.png,312_len5_len3_bd_2.png,2.4
285.png,285_len1_st_3.png,1.8
275.png,275_len3_len6_gb_2.png,2.777777778
69.png,69_len4_len1_st_3.png,2.2
345.png,345_len2_len5_gb_3.png,1.9
130.png,130_len2_len4_st_2.png,1.7
285.png,285_len1_bd_3.png,1.9
298.png,298_len3_len1_gb_1.png,3.0
291.png,291_len3_len6_st_1.png,2.8
410.png,410_len1_gn_2.png,3.333333333
350.png,350_len2_st_2.png,2.5
104.png,104_len1_len4_gn_1.png,3.5
58.png,58_len2_bd_2.png,2.75
266.png,266_len2_bd_2.png,2.2
166.png,166_len4_len1_gn_3.png,3.0
191.png,191_len2_len5_gn_3.png,2.6
155.png,155_len2_len5_gb_1.png,3.2
181.png,181_len2_len5_gb_2.png,2.2
112.png,112_len2_gn_2.png,3.3
222.png,222_len1_st_3.png,2.2
239.png,239_len4_gn_2.png,2.8
173.png,173_len4_bd_3.png,1.8
409.png,409_len2_gb_1.png,3.3
61.png,61_len4_gb_2.png,3.8
243.png,243_len1_gn_2.png,2.714285714
272.png,272_len3_len6_gb_2.png,2.8
294.png,294_len2_len5_gn_2.png,2.2
180.png,180_len3_len6_gn_3.png,2.555555556
59.png,59_len1_bd_1.png,3.5
318.png,318_len4_len6_gn_1.png,2.875
93.png,93_len4_len1_bd_3.png,1.75
312.png,312_len5_len3_st_3.png,1.9
403.png,403_len3_st_3.png,2.333333333
291.png,291_len3_bd_1.png,3.6
13.png,13_len4_len1_st_3.png,1.5
268.png,268_len4_bd_3.png,2.666666667
418.png,418_len5_st_3.png,2.2
104.png,104_len1_gb_1.png,3.7
358.png,358_len6_st_1.png,3.0
155.png,155_len2_len5_gn_2.png,2.5
114.png,114_len1_bd_2.png,2.8
130.png,130_len2_len4_st_3.png,1.375
141.png,141_len5_len2_gb_1.png,3.1
206.png,206_len2_gn_3.png,2.5
254.png,254_len1_gb_2.png,2.3
279.png,279_len5_bd_3.png,2.444444444
378.png,378_len3_len5_gn_2.png,2.375
349.png,349_len3_bd_2.png,2.7
360.png,360_len2_len6_bd_3.png,1.8
362.png,362_len2_gn_3.png,2.666666667
153.png,153_len1_st_2.png,2.666666667
120.png,120_len1_len4_gb_1.png,3.4
422.png,422_len2_gn_1.png,3.777777778
83.png,83_len5_len2_gn_1.png,3.8
143.png,143_len5_len2_st_1.png,2.3
225.png,225_len3_st_2.png,2.4
129.png,129_len2_len5_bd_2.png,2.125
321.png,321_len2_len4_st_2.png,2.1
23.png,23_len4_len1_bd_2.png,2.5
282.png,282_len1_len4_st_2.png,1.7
81.png,81_len4_gb_3.png,2.0
376.png,376_len3_len1_gb_3.png,1.8
195.png,195_len4_len1_st_2.png,2.555555556
289.png,289_len4_len2_gn_3.png,2.6
220.png,220_len3_len6_gn_3.png,2.428571429
36.png,36_len1_bd_1.png,3.2
383.png,383_len3_len1_gn_2.png,4.0
429.png,429_len3_len1_bd_2.png,2.2
389.png,389_len5_len3_gn_2.png,3.111111111
98.png,98_len3_st_2.png,1.888888889
278.png,278_len6_bd_3.png,2.1
286.png,286_len2_len6_gb_3.png,1.777777778
123.png,123_len4_bd_2.png,2.9
61.png,61_len4_len1_gb_2.png,2.4
58.png,58_len2_len4_bd_3.png,2.0
22.png,22_len1_bd_2.png,2.4
376.png,376_len3_len1_gn_2.png,2.8
29.png,29_len6_len2_gb_3.png,1.75
358.png,358_len6_len3_gb_2.png,2.0
371.png,371_len3_gb_3.png,1.8
13.png,13_len4_len1_gb_1.png,3.333333333
395.png,395_len3_st_1.png,3.1
159.png,159_len4_st_1.png,3.571428571
258.png,258_len2_gn_3.png,2.7
288.png,288_len4_gb_2.png,3.0
420.png,420_len3_gb_2.png,2.7
107.png,107_len1_len4_gb_1.png,3.5
343.png,343_len3_bd_3.png,2.5
180.png,180_len3_gb_1.png,3.7
164.png,164_len6_len3_st_2.png,2.2
152.png,152_len2_len5_bd_3.png,1.0
375.png,375_len1_st_1.png,2.8
297.png,297_len2_st_3.png,2.0
391.png,391_len4_gb_3.png,2.7
362.png,362_len2_len5_gn_2.png,2.555555556
123.png,123_len4_len1_st_1.png,2.2
98.png,98_len3_len6_gb_1.png,3.111111111
94.png,94_len5_len2_gb_2.png,2.666666667
160.png,160_len1_len4_gn_2.png,2.2
33.png,33_len3_st_2.png,2.9
161.png,161_len4_gn_2.png,3.2
338.png,338_len2_st_3.png,2.666666667
117.png,117_len3_gn_1.png,3.8
260.png,260_len4_st_1.png,3.7
179.png,179_len1_len4_st_2.png,3.555555556
277.png,277_len4_len1_gn_2.png,2.75
233.png,233_len4_gb_3.png,2.2
386.png,386_len5_gn_2.png,2.666666667
285.png,285_len1_len3_st_1.png,2.666666667
326.png,326_len5_gb_2.png,2.8
49.png,49_len5_bd_1.png,3.333333333
31.png,31_len3_len5_gn_2.png,2.6
301.png,301_len2_len6_bd_3.png,2.0
423.png,423_len3_gb_3.png,2.2
80.png,80_len3_gb_2.png,2.6
172.png,172_len4_st_2.png,2.8
423.png,423_len3_bd_2.png,3.0
32.png,32_len2_len6_gb_3.png,2.333333333
358.png,358_len6_len3_bd_2.png,1.7
253.png,253_len2_gb_2.png,2.9
371.png,371_len3_gb_1.png,3.1
178.png,178_len4_len1_gb_3.png,2.0
387.png,387_len1_gb_3.png,2.2
69.png,69_len4_st_3.png,2.3
18.png,18_len5_len3_bd_2.png,1.875
184.png,184_len6_len3_gn_3.png,2.7
340.png,340_len3_len5_gn_2.png,2.555555556
142.png,142_len6_st_2.png,2.5
249.png,249_len2_gb_3.png,1.8
30.png,30_len5_len3_gb_3.png,1.9
262.png,262_len3_gb_3.png,2.9
318.png,318_len4_bd_2.png,2.3
192.png,192_len1_len4_st_3.png,1.2
385.png,385_len5_len2_st_3.png,2.1
150.png,150_len2_bd_3.png,2.4
160.png,160_len1_len4_st_2.png,2.5
382.png,382_len4_len1_gb_2.png,2.5
71.png,71_len4_st_3.png,2.25
363.png,363_len2_st_2.png,2.2
410.png,410_len1_len4_gn_1.png,3.666666667
278.png,278_len6_len2_st_1.png,2.2
301.png,301_len2_gn_2.png,3.2
397.png,397_len6_gb_2.png,2.8
74.png,74_len6_len2_gn_2.png,2.8
311.png,311_len5_bd_2.png,3.0
157.png,157_len3_len6_st_2.png,2.111111111
159.png,159_len4_st_3.png,2.6
289.png,289_len4_st_3.png,2.8
417.png,417_len2_bd_3.png,2.888888889
403.png,403_len3_len6_st_3.png,1.8
296.png,296_len6_st_2.png,1.8
20.png,20_len3_len6_bd_1.png,4.2
84.png,84_len4_bd_3.png,1.8
56.png,56_len1_gn_1.png,3.222222222
151.png,151_len3_len1_bd_2.png,2.0
101.png,101_len1_st_1.png,2.555555556
196.png,196_len2_st_2.png,2.8
250.png,250_len2_gn_2.png,2.7
129.png,129_len2_gb_2.png,2.2
74.png,74_len6_len2_gn_3.png,1.75
229.png,229_len1_st_1.png,3.222222222
83.png,83_len5_gb_1.png,3.888888889
338.png,338_len2_len6_st_1.png,2.888888889
352.png,352_len4_len1_st_1.png,2.7
386.png,386_len5_gb_2.png,3.0
345.png,345_len2_len5_bd_1.png,2.7
309.png,309_len3_len6_bd_2.png,2.666666667
380.png,380_len2_len6_gb_2.png,3.125
185.png,185_len6_len3_st_2.png,2.3
67.png,67_len2_len5_st_3.png,2.4
235.png,235_len6_len4_gn_3.png,2.5
2.png,2_len2_st_2.png,2.4
251.png,251_len2_len6_gn_1.png,3.4
390.png,390_len2_len5_st_3.png,1.8
353.png,353_len2_gb_1.png,3.111111111
216.png,216_len2_len5_bd_2.png,2.0
347.png,347_len3_st_3.png,2.7
289.png,289_len4_gn_2.png,2.6
387.png,387_len1_gb_1.png,3.0
86.png,86_len4_len1_gb_1.png,3.4
2.png,2_len2_len5_bd_2.png,2.2
125.png,125_len2_len4_gn_2.png,2.555555556
255.png,255_len5_gn_1.png,3.8
230.png,230_len3_bd_3.png,1.888888889
66.png,66_len4_len6_bd_2.png,1.8
86.png,86_len4_gn_3.png,2.666666667
220.png,220_len3_len6_gn_2.png,3.0
126.png,126_len1_gb_1.png,3.555555556
379.png,379_len5_len3_gb_3.png,1.8
223.png,223_len3_len6_st_3.png,2.9
413.png,413_len2_bd_2.png,2.888888889
174.png,174_len6_len3_st_1.png,3.3
16.png,16_len5_len2_gn_2.png,2.4
26.png,26_len3_st_1.png,2.4
242.png,242_len1_len4_bd_1.png,2.428571429
299.png,299_len1_gb_1.png,3.75
67.png,67_len2_bd_3.png,2.6
20.png,20_len3_st_3.png,2.5
297.png,297_len2_len4_bd_2.png,2.2
378.png,378_len3_st_1.png,3.3
214.png,214_len3_bd_3.png,2.111111111
255.png,255_len5_len1_bd_1.png,3.2
87.png,87_len3_bd_1.png,3.8
312.png,312_len5_gn_1.png,3.8
384.png,384_len1_len4_bd_3.png,1.7
116.png,116_len6_gb_1.png,2.8
123.png,123_len4_len1_gb_2.png,2.2
295.png,295_len3_st_3.png,2.5
360.png,360_len2_len6_gb_3.png,2.0
154.png,154_len3_len6_gb_3.png,1.8
355.png,355_len3_len5_gn_2.png,2.8
401.png,401_len1_st_3.png,2.2
83.png,83_len5_gn_3.png,2.777777778
309.png,309_len3_bd_2.png,2.75
300.png,300_len2_len5_gb_1.png,2.8
154.png,154_len3_bd_2.png,3.0
267.png,267_len2_gb_3.png,2.7
123.png,123_len4_gb_2.png,2.0
149.png,149_len3_bd_1.png,3.2
33.png,33_len3_gn_1.png,3.6
357.png,357_len5_gn_3.png,2.777777778
426.png,426_len2_st_3.png,2.2
85.png,85_len2_len5_st_3.png,1.7
10.png,10_len5_gn_2.png,3.1
275.png,275_len3_gb_1.png,3.5
175.png,175_len5_len2_gb_3.png,2.5
336.png,336_len4_gn_2.png,2.8
315.png,315_len6_gb_2.png,2.8
108.png,108_len3_gn_2.png,2.5
49.png,49_len5_len1_gn_2.png,2.125
119.png,119_len3_gb_3.png,2.5
345.png,345_len2_gn_3.png,2.375
244.png,244_len4_st_2.png,3.0
117.png,117_len3_st_3.png,2.8
92.png,92_len5_gn_2.png,3.2
54.png,54_len5_len2_gb_1.png,3.2
362.png,362_len2_st_2.png,2.555555556
165.png,165_len4_len1_gn_3.png,2.4
332.png,332_len4_len1_st_2.png,2.666666667
246.png,246_len4_len2_gn_3.png,2.4
417.png,417_len2_len5_gn_3.png,3.1
411.png,411_len4_st_2.png,2.444444444
334.png,334_len2_gb_3.png,2.1
227.png,227_len2_len5_bd_2.png,2.2
132.png,132_len6_st_2.png,2.7
17.png,17_len1_gn_1.png,3.6
136.png,136_len4_len1_bd_3.png,2.0
328.png,328_len2_st_2.png,2.333333333
155.png,155_len2_gb_2.png,2.3
149.png,149_len3_gn_3.png,2.6
420.png,420_len3_len6_gn_2.png,2.888888889
26.png,26_len3_len6_gn_2.png,2.9
61.png,61_len4_len1_bd_3.png,2.2
261.png,261_len4_len1_st_2.png,2.1
230.png,230_len3_len6_bd_3.png,1.7
187.png,187_len5_st_2.png,3.625
176.png,176_len5_len2_gb_1.png,3.666666667
256.png,256_len4_bd_1.png,2.8
4.png,4_len3_gb_2.png,2.8
138.png,138_len4_st_1.png,3.222222222
381.png,381_len1_bd_2.png,2.8
355.png,355_len3_gb_2.png,3.1
225.png,225_len3_gn_3.png,2.8
203.png,203_len6_len3_gb_1.png,3.125
180.png,180_len3_len6_st_3.png,2.125
272.png,272_len3_bd_2.png,3.333333333
178.png,178_len4_len1_gn_3.png,2.888888889
391.png,391_len4_bd_1.png,4.2
109.png,109_len3_len6_gb_2.png,2.111111111
225.png,225_len3_bd_3.png,2.0
29.png,29_len6_bd_2.png,2.8
348.png,348_len3_len6_gn_2.png,2.5
95.png,95_len4_len6_bd_3.png,2.222222222
71.png,71_len4_len1_st_3.png,1.0
425.png,425_len3_gb_2.png,3.0
108.png,108_len3_len6_gn_3.png,2.8
21.png,21_len6_len2_gb_2.png,2.333333333
247.png,247_len1_len5_gn_1.png,3.4
228.png,228_len5_gn_3.png,2.8
387.png,387_len1_gn_2.png,3.3
287.png,287_len4_len1_gb_2.png,2.0
292.png,292_len5_len3_st_1.png,3.2
85.png,85_len2_len5_st_1.png,2.3
166.png,166_len4_bd_1.png,3.2
268.png,268_len4_st_3.png,2.2
113.png,113_len3_bd_2.png,2.777777778
45.png,45_len2_st_3.png,2.888888889
1.png,1_len3_len6_bd_2.png,2.444444444
84.png,84_len4_gn_2.png,3.222222222
392.png,392_len5_bd_3.png,2.8
315.png,315_len6_len2_bd_3.png,1.6
147.png,147_len5_bd_3.png,2.8
43.png,43_len6_bd_3.png,2.25
347.png,347_len3_len6_st_2.png,2.777777778
253.png,253_len2_len5_gn_1.png,3.2
52.png,52_len1_gb_2.png,3.222222222
312.png,312_len5_len3_gb_1.png,3.5
17.png,17_len1_st_3.png,2.0
216.png,216_len2_gb_3.png,2.444444444
304.png,304_len3_gn_2.png,2.555555556
303.png,303_len5_gn_2.png,3.2
139.png,139_len6_len3_bd_1.png,2.8
430.png,430_len4_len1_gb_3.png,1.888888889
309.png,309_len3_gb_1.png,3.2
302.png,302_len2_gb_1.png,3.2
173.png,173_len4_gn_3.png,2.6
113.png,113_len3_len6_gb_3.png,1.8
344.png,344_len2_len5_st_2.png,2.4
183.png,183_len2_len5_gn_3.png,2.5
269.png,269_len3_len5_gn_2.png,2.6
